kanji,num,meanings,radicals,kanji_in_theme_meaning,theme,subtheme
億,120,hundred million:10**8,心日立音亻,"100,000,000",Numbers,
憶,121,recollection:think:remember,心日立音忄,,,
臆,122,timidity:heart:mind:fear:cowardly,心日月立音,,,
虞,123,fear:uneasiness:anxiety:concern:expectation:consideration,八匕卜厂口虍,fear,Emotions_and_Senses,Emotions
乙,124,the latter:duplicate:strange:witty:fishhook radical (no. 5),,second,Numbers,Counting_&_Sequence
俺,125,I:myself,乙大亻奄,I or me,People,General
卸,126,wholesale,丿卩止,wholesale,Human_activities,Money_and_Commerce
音,127,sound:noise,日立,sound,Emotions_and_Senses,Senses
恩,128,grace:kindness:goodness:favor:mercy:blessing:benefit,囗大心,,,
温,129,warm,日皿氵,warm,Physical_Attributes_and_Properties,Miscellaneous_properties
穏,130,calm:quiet:moderation,彐心爪禾,,,
下,131,below:down:descend:give:low:inferior,｜卜,down,Directions_and_Spatial_Relationships,
化,132,change:take the form of:influence:enchant:delude:-ization,匕亻,,,
火,133,fire,,fire,Nature,Weather
加,134,add:addition:increase:join:include:Canada,力口,to add,Numbers,Calculations
可,135,can:passable:mustn't:should not:do not,亅口,,,
仮,136,sham:temporary:interim:assumed (name):informal,厂又亻,,,
何,137,what,亅口亻,,,
花,138,flower,匕亻艹,flower,Nature,Plants_and_Trees
佳,139,excellent:beautiful:good:pleasing:skilled,土亻,,,
価,140,value:price,襾亻,price,Human_activities,Money_and_Commerce
果,141,fruit:reward:carry out:achieve:complete:end:finish:succeed,｜木田,fruit,Food_and_Drink,
河,142,river,亅口氵,stream,Nature,Land_and_Topography
苛,143,torment:scold:chastise,亅口艹,,,
科,144,department:course:section,斗禾,faculty,Human_activities,Culture
架,145,erect:frame:mount:support:shelf:construct,力口木,,,
夏,146,summer,夂自,Summer,Time,Seasons
家,147,house:home:family:professional:expert:performer,宀豕,,,
荷,148,baggage:shoulder-pole load:bear (a burden):shoulder (a gun):load:cargo:freight,亅口亻艹,,,
華,149,splendor:flower:petal:shine:luster:ostentatious:showy:gay:gorgeous,｜艹,,,
菓,150,candy:cakes:fruit,木田艹,confectionery,Food_and_Drink,
貨,151,freight:goods:property,匕貝亻,goods or property,Human_activities,Money_and_Commerce
渦,152,whirlpool:eddy:vortex,｜冂口氵,whirlpool,Nature,Weather
過,153,overdo:exceed:go beyond:error,冂口辶,,,
嫁,154,marry into:bride,女宀豕,"wife, bride",People,Family
暇,155,spare time:rest:leisure:time:leave of absence,又日,,,
禍,156,calamity:misfortune:evil:curse,冂口礻,,,
靴,157,shoes,匕革亻,shoes,Artificial_Structures_and_Products,Clothing_and_Textiles
寡,158,widow:minority:few,八刀宀自,widow,People,Family
歌,159,song:sing,亅口欠,song,Human_activities,Culture
箇,160,counter for articles,十口囗竹,,,
稼,161,earnings:work:earn money,宀禾豕,"work, earn",Human_activities,Money_and_Commerce
課,162,chapter:lesson:section:department:division:counter for chapters (of a book),木田言,,,
蚊,163,mosquito,文虫,mosquito,Nature,Animals
牙,164,tusk:fang:tusk radical (no. 92),,"fang, tusk",Nature,Animals
瓦,165,tile:gram,,tile,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
我,166,ego:I:selfish:our:oneself,亅戈手,"self, ego",People,General
画,167,brush-stroke:picture,凵田,picture,Human_activities,Culture
芽,168,bud:sprout:spear:germ,牙艹,bud,Nature,Plants_and_Trees
賀,169,congratulations:joy,力口貝,,,
雅,170,gracious:elegant:graceful:refined,牙隹,,,
餓,171,starve:hungry:thirst,亅戈手食,,,
介,172,jammed in:shellfish:mediate:concern oneself with,八个,,,
回,173,-times:round:game:revolve:counter for occurrences,口囗,number of times,Time,
灰,174,ashes:puckery juice:cremate,厂火,ash,Nature,Natural_Substances
会,175,meeting:meet:party:association:interview:join,二厶个,,,
快,176,cheerful:pleasant:agreeable:comfortable,二人大忄,DEFAULT,Emotions_and_Senses,Emotions
戒,177,commandment,廾戈,,,
改,178,reformation:change:modify:mend:renew:examine:inspect:search,己攴,,,
怪,179,suspicious:mystery:apparition,又土忄,,,
拐,180,kidnap:falsify,刀口扌,,,
悔,181,repent:regret,毋忄,remorse,Emotions_and_Senses,Emotions
海,182,sea:ocean,毋氵,sea,Nature,Land_and_Topography
界,183,world:boundary,儿田个,,,
皆,184,all:everything,比白,,,
械,185,contraption:fetter:machine:instrument,廾戈木,contraption,Artificial_Structures_and_Products,Vehicles_and_Machines
絵,186,picture:drawing:painting:sketch,二厶糸个,"picture, painting",Human_activities,Culture
開,187,open:unfold:unseal,廾門,,,
階,188,storey:stair:counter for storeys of a building,比白阝.,,,
塊,189,clod:lump:chunk:clot:mass,儿匕厶土田鬼,,,
楷,190,square character style:correctness,木比白,,,
解,191,unravel:notes:key:explanation:understanding:untie:undo:solve:answer:cancel:absolve:explain:minute,刀牛角,,,
潰,192,crush:smash:break:dissipate,十口貝氵,,,
壊,193,demolition:break:destroy,十土网衣,,,
懐,194,pocket:feelings:heart:yearn:miss someone:become attached to:bosom:breast,十网衣忄,yearning,Emotions_and_Senses,Emotions
諧,195,harmony,比白言,harmony,Human_activities,Culture
貝,196,shellfish,八目,cowry (ancient Chinese currency),Human_activities,Money_and_Commerce
外,197,outside,卜夕,outside,Directions_and_Spatial_Relationships,
劾,198,censure:criminal investigation,亠人力,,,
害,199,harm:injury,亠口土宀,,,
崖,200,cliff:bluff:precipice,厂土山,cliff,Nature,Land_and_Topography
涯,201,horizon:shore:limit:bound,厂土氵,,,
街,202,boulevard:street:town,土彳行,city district,Artificial_Structures_and_Products,Cities
慨,203,rue:be sad:sigh:lament,牙艮忄,,,
蓋,204,cover:lid:flap,厶土皿艹,lid,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
該,205,above-stated:the said:that specific,亠人言,,,
概,206,outline:condition:approximation:generally,木牙艮,,,
骸,207,bone:body:corpse,亠人冂冖月骨,corpse,Body,Health
垣,208,hedge:fence:wall,土日,,,
柿,209,persimmon,｜亠冂巾木,persimmon,Nature,Plants_and_Trees
各,210,each:every:either,口夂攴,each,Numbers,Counting_&_Sequence
角,211,angle:corner:square:horn:antlers,｜勹月,horn,Nature,Animals
拡,212,broaden:extend:expand:enlarge,厶广扌,,,
革,213,leather:skin:reform:become serious,十口廾,leather,Artificial_Structures_and_Products,Clothing_and_Textiles
格,214,"status:rank:capacity:character:case (law, grammar)",口夂木,,,
核,215,nucleus:core:kernel,亠人木,,,
殻,216,husk:nut shell,冖几士殳,,,
郭,217,enclosure:quarters:fortification:red-light district,亅亠口子.阝,,,
覚,218,memorize:learn:remember:awake:sober up,冖見尚,,,
較,219,contrast:compare,亠父車,,,
隔,220,isolate:alternate:distance:separate:gulf,儿冂口鬲阝.,,,
閣,221,tower:tall building:palace,口夂門,,,
確,222,assurance:firm:tight:hard:solid:confirm:clear:evident,口宀石隹,,,
獲,223,seize:get:find:earn:acquire:can:may:able to,又隹犭艹,,,
嚇,224,menacing:dignity:majesty:threaten,口土赤,,,
穫,225,harvest:reap,又禾隹艹,,,
学,226,study:learning:science,冖子尚,"study, school",Human_activities,Culture
岳,227,point:peak:mountain,山斤,mountain or peak,Nature,Land_and_Topography
楽,228,music:comfort:ease,冫木白,music,Human_activities,Culture
額,229,forehead:tablet:plaque:framed picture:sum:amount:volume,口夂宀貝頁,forehead,Body,Head_and_Neck
顎,230,jaw:chin:gill,二勹口貝頁,jaw,Body,Head_and_Neck
掛,231,hang:suspend:depend:arrive at:tax:pour,卜土扌,,,
潟,232,lagoon,勹臼氵灬,lagoon,Nature,Land_and_Topography
括,233,fasten:tie up:arrest:constrict,丿十口舌扌,,,
活,234,lively:resuscitation:being helped:living,丿十口舌氵,,,
喝,235,hoarse:scold,勹匕口日,,,
渇,236,thirst:dry up:parch,勹匕日氵,,,
割,237,proportion:comparatively:divide:cut:separate:split,亠口土宀刂,,,
葛,238,arrowroot:kudzu,勹匕日艹,vine,Nature,Plants_and_Trees
滑,239,slippery:slide:slip:flunk,冂冖月骨氵,,,
褐,240,brown:woollen kimono,勹匕日衤,brown,Physical_Attributes_and_Properties,Colours
轄,241,control:wedge,亠口土宀車,,,
且,242,moreover:also:furthermore,目,,,
株,243,stocks:stump:shares:stock:counter for small plants,木牛,,,
釜,244,kettle:cauldron:iron pot,丶丿干父玉金丷,kettle,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
鎌,245,sickle:scythe:trick,丶丿八彐玉金丷,sickle,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
刈,246,reap:cut:clip:trim:prune,刂,,,
干,247,dry:parch:ebb:recede:interfere:intercede,十,dry,Physical_Attributes_and_Properties,Miscellaneous_properties
刊,248,publish:carve:engrave,干刂,publish,Human_activities,Language_and_Communication
甘,249,sweet:coax:pamper:be content:sugary,,sweet,Emotions_and_Senses,Senses
汗,250,sweat:perspire,干氵,sweat,Body,Bodily_Functions
缶,251,tin can:container:jar radical (no. 121),凵山,tin can,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
完,252,perfect:completion:end,二儿宀元,,,
肝,253,liver:pluck:nerve:chutzpah,干月,liver,Body,Torso_and_organs
官,254,bureaucrat:the government:organ,口宀,,,
冠,255,crown:best:peerless,儿冖寸,,,
巻,256,scroll:volume:book:part:roll up:wind up:tie:coil:counter for texts (or book scrolls),二大己丷,,,
看,257,watch over:see,丿二手目,,,
陥,258,collapse:fall into:cave in:fall (castle):slide into,｜勹日阝.,,,
乾,259,drought:dry:dessicate:drink up:heaven:emperor,乙十日,dry,Physical_Attributes_and_Properties,Miscellaneous_properties
勘,260,intuition:perception:check:compare:sixth sense,儿力匚甘,,,
患,261,afflicted:disease:suffer from:be ill,｜口心,sick,Body,Health
貫,262,pierce:8 1/3lbs:penetrate:brace,毋貝,,,
寒,263,cold,丶八宀井,cold,Physical_Attributes_and_Properties,Miscellaneous_properties
喚,264,yell:cry:call:scream:summon,儿冂勹口大,,,
堪,265,withstand:endure:support:resist,儿匚土甘,,,
換,266,interchange:period:change:convert:replace:renew,儿冂勹大扌,,,
敢,267,daring:brave:bold:sad:tragic:pitiful,攴耳,,,
棺,268,coffin:casket,口宀木,coffin,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
款,269,goodwill:article:section:friendship:collusion,士欠示,,,
間,270,interval:space,日門,interval of time,Time,
閑,271,leisure,木門,,,
勧,272,persuade:recommend:advise:encourage:offer,丿力矢隹,,,
寛,273,tolerant:leniency:generosity:relax:feel at home:be at ease:broadminded,宀見艹,,,
幹,274,tree trunk:main part:talent:capability,十干日个,tree trunk,Nature,Plants_and_Trees
感,275,emotion:feeling:sensation,丿口心戈,,,
漢,276,Sino-:China,口大氵艹,honorable man or Han person,People,Roles_and_status
慣,277,accustomed:get used to:become experienced,毋貝忄,,,
管,278,pipe:tube:wind instrument:drunken talk:control:jurisdiction,口宀竹,pipe,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
関,279,connection:barrier:gateway:involve:concerning,二人八大門丷,,,
歓,280,delight:joy,欠矢隹,"delight, joy",Emotions_and_Senses,Emotions
監,281,oversee:official:govt office:rule:administer,二皿臣,,,
緩,282,slacken:loosen:relax:lessen:be moderate:ease,夂爪糸,,,
憾,283,remorse:regret:be sorry,丿口心戈忄,regret,Emotions_and_Senses,Emotions
還,284,send back:return,口网衣辶,,,
館,285,building:mansion:large building:palace,口宀食,,,
環,286,ring:circle:link:wheel,口玉网衣,"ring, surround",Physical_Attributes_and_Properties,Form_and_Shape
簡,287,simplicity:brevity,日竹門,,,
観,288,outlook:look:appearance:condition:view,矢見隹,,,
韓,289,Korea,十口日韋,,,
艦,290,warship,二皿臣舟,,,
鑑,291,specimen:take warning from:learn from,二皿臣金,,,
丸,292,round:full (month):perfection:-ship:pills:make round:roll up:curl up:seduce:explain away,丶九,circular,Physical_Attributes_and_Properties,Form_and_Shape
含,293,contain:include:hold in the mouth:bear in mind:understand:cherish,口个,,,
岸,294,beach,厂山干,shore,Nature,Land_and_Topography
岩,295,boulder:rock:cliff,口山石,boulder or rock,Nature,Land_and_Topography
玩,296,play:take pleasure in:trifle with:make sport of,二儿玉元,,,
眼,297,eyeball,目艮,eyeball,Body,Head_and_Neck
頑,298,stubborn:foolish:firmly,二儿貝頁元,,,
顔,299,face:expression,亠八厂彡立貝頁,face,Body,Head_and_Neck
願,300,petition:request:vow:wish:hope,厂小白貝頁,,,
企,301,undertake:scheme:design:attempt:plan,止个,,,
伎,302,deed:skill,十又支亻,,,
危,303,dangerous:fear:uneasy,勹厂,,,
机,304,desk:table,几木,desk,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
気,305,spirit:mind:air:atmosphere:mood,丶丿气,mood,Emotions_and_Senses,Emotions
岐,306,branch off:fork in road:scene:arena:theater,十又山支,,,
希,307,hope:beg:request:pray:beseech:Greece:dilute (acid):rare:few:phenomenal,丿巾,,,
忌,308,mourning:abhor:detestable:death anniversary,己心,,,
汽,309,vapor:steam,气氵,steam or vapour,Nature,Natural_Substances
奇,310,strange:strangeness:curiosity,亅口大,,,
祈,311,pray:wish,斤礻,pray,Human_activities,Religion_and_the_Supernatural_World
季,312,seasons,子禾,,,
紀,313,chronicle:account:narrative:history:annals:geologic period,己糸,era,Time,
軌,314,rut:wheel:track:model:way of doing,車九,,,
既,315,previously:already:long ago,牙艮,,,
記,316,scribe:account:narrative,己言,written record,Human_activities,Language_and_Communication
起,317,rouse:wake up:get up,土己走,,,
飢,318,hungry:starve,几食,,,
鬼,319,ghost:devil,儿匕厶田,evil spirit or oni,Human_activities,Religion_and_the_Supernatural_World
帰,320,homecoming:arrive at:lead to:result in,冖巾彐刂,to return,Directions_and_Spatial_Relationships,Movement
基,321,fundamentals:radical (chem):counter for machines:foundation,八土甘,counter for stable structures,Numbers,Counters
寄,322,draw near:stop in:bring near:gather:collect:send:forward,亅口大宀,,,
規,323,standard:measure,土大見,,,
亀,324,tortoise:turtle,乙勹田龜,turtle,Nature,Animals
喜,325,rejoice:take pleasure in,口士豆丷,"delight, joy",Emotions_and_Senses,Emotions
幾,326,how many:how much:how far:how long:some:several,丿幺戈,,,
揮,327,brandish:wave:wag:swing:shake,冖車扌,,,
期,328,period:time:date:term,八月甘,time period,Time,
棋,329,chess piece:Japanese chess:shogi,八木甘,,,
貴,330,precious:value:prize:esteem:honor,｜口貝,,,
棄,331,abandon:throw away:discard:resign:reject:sacrifice,亠凵厶木,,,
毀,332,break:destroy:censure:be chipped:be scratched:be broken:be ruined,土殳臼,,,
旗,333,national flag:banner:standard,八方甘,,,
器,334,utensil:vessel:receptacle:implement:instrument:ability:container:tool:set,口大,vessel,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
畿,335,capital:suburbs of capital,幺戈田,capital,Artificial_Structures_and_Products,Cities
輝,336,radiance:shine:sparkle:gleam:twinkle,儿冖車尚,,,
機,337,loom:mechanism:machine:airplane:opportunity:potency:efficacy:occasion,丶丿幺戈木,,,
騎,338,equestrian:riding on horses:counter for equestrians,亅口大馬,,,
技,339,skill:art:craft:ability:feat:performance:vocation:arts,十又支扌,,,
宜,340,best regards:good,宀目,,,
偽,341,falsehood:lie:deceive:pretend:counterfeit:forgery,丶亻灬,,,
欺,342,deceit:cheat:delude,八欠甘,,,
義,343,righteousness:justice:morality:honor:loyalty:meaning,亅戈手玉羊丷,,,
疑,344,doubt:distrust:be suspicious:question,匕疋矢マ,doubt or suspicion,Emotions_and_Senses,Emotions
儀,345,ceremony:rule:affair:case:a matter,亅戈手玉羊亻丷,,,
戯,346,frolic:play:sport,匕卜厂戈虍,,,
擬,347,mimic:aim (a gun) at:nominate:imitate,匕疋矢マ扌,,,
犠,348,sacrifice,亅戈手牛玉羊丷,sacrifice,Human_activities,Religion_and_the_Supernatural_World
議,349,deliberation:consultation:debate:consideration,亅戈手玉羊言丷,,,
菊,350,chrysanthemum,勹米艹,chrysanthemum,Nature,Plants_and_Trees
吉,351,good luck:joy:congratulations,口士,,,
喫,352,consume:eat:drink:smoke:receive (a blow),亠刀口土大,,,
詰,353,packed:close:pressed:reprove:rebuke:blame,口士言,,,
却,354,instead:on the contrary:rather:step back:withdraw:retreat,卩厶土,,,
客,355,guest:visitor:customer:client,口夂宀,"guest, customer",People,Roles_and_status
脚,356,skids:leg:undercarriage:lower part:base,卩厶土月,leg,Body,Limbs
逆,357,inverted:reverse:opposite:wicked,屮丷辶,,,
虐,358,tyrannize:oppress,匕匚卜厂虍,,,
九,359,nine,,9,Numbers,
久,360,long time:old story,丿入,long ago,Time,
及,361,reach out:exert:exercise:cause,丶乃,,,
弓,362,"bow:bow (archery, violin)",,,,
丘,363,hill:knoll,斤,hill,Nature,Land_and_Topography
旧,364,old times:old things:old friend:former:ex-,｜日,former,Time,
休,365,rest:day off:retire:sleep,木亻,rest,Body,Health
吸,366,suck:imbibe:inhale:sip,丿口及,,,
朽,367,decay:rot:remain in seclusion,勹木,,,
臼,368,mortar,,millstone or mortar,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
求,369,request:want:wish for:require:demand,丶水,,,
究,370,research:study,儿宀穴九,"study, research",Human_activities,Culture
泣,371,cry:weep:moan,立氵,,,
急,372,hurry:emergency:sudden:steep,勹彐心,,,
級,373,class:rank:grade,丿糸及,,,
糾,374,twist:ask:investigate:verify,｜十糸,,,
宮,375,Shinto shrine:constellations:palace:princess,口宀,shrine,Human_activities,Religion_and_the_Supernatural_World
救,376,salvation:save:help:rescue:reclaim,丶攴水,,,
球,377,ball:sphere,丶水玉,sphere,Physical_Attributes_and_Properties,Form_and_Shape
給,378,salary:wage:gift:allow:grant:bestow on,口糸个,salary,Human_activities,Money_and_Commerce
嗅,379,smell:sniff:scent,口大自,,,
窮,380,hard up:destitute:suffer:perplexed:cornered,儿宀弓穴身,,,
牛,381,cow,,DEFAULT,Nature,Animals
去,382,gone:past:quit:leave:elapse:eliminate:divorce,厶土,,,
巨,383,gigantic:big:large:great,匚,huge,Physical_Attributes_and_Properties,Form_and_Shape
居,384,reside:to be:exist:live with,十口尸,,,
拒,385,repel:refuse:reject:decline,匚扌巨,,,
拠,386,foothold:based on:follow:therefore,几夂扌,,,
挙,387,raise:plan:project:behavior:actions,八手尚,,,
虚,388,void:emptiness:unpreparedness:crack:fissure:untruth,匕卜厂虍,,,
許,389,permit:approve,丿十干言,,,
距,390,long-distance:spur:fetlock,匚口足巨,,,
魚,391,fish,田灬,,,
御,392,honorable:manipulate:govern,丿卩彳止,,,
漁,393,fishing:fishery,田魚氵灬,,,
凶,394,villain:evil:bad luck:disaster,丶丿凵,,,
共,395,together:both:neither:all:and:alike:with,八,,,
叫,396,shout:exclaim:yell,｜十口,,,
狂,397,lunatic:insane:crazy:confuse,玉犭,,,
京,398,capital:10**16,亠口小,capital city,Artificial_Structures_and_Products,Cities
享,399,enjoy:receive:undergo:answer (phone):take:get:catch,亠口子,,,
供,400,submit:offer:present:serve (meal):accompany,｜二八亻,,,
協,401,co-:cooperation,力十,,,
況,402,condition:situation,儿口氵,,,
峡,403,gorge:ravine,二亠人大山丷,gorge,Nature,Land_and_Topography
挟,404,pinch:between,丶二亠人大丷扌,,,
狭,405,cramped:narrow:contract:tight,丶二亠人大丷犭,narrow,Physical_Attributes_and_Properties,Form_and_Shape
恐,406,fear:dread:awe,丶几工心,fear,Emotions_and_Senses,Emotions
